job;marital;education;default;housing;loan;contact;month;poutcome;Fac-age;Fac-balance;Fac-duration;Fac-campaign;Fac-pday;Fac-pervious;y
unemployed;married;primary;no;no;no;cellular;oct;unknown;mid;normal;normal;new;new;new;no
services;married;secondary;no;yes;yes;cellular;may;failure;mid;rich;long;new;old;old;no
management;single;tertiary;no;yes;no;cellular;apr;failure;mid;normal;long;new;old;old;no
management;married;tertiary;no;yes;yes;unknown;jun;unknown;mid;normal;long;repeat;new;new;no
blue-collar;married;secondary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
management;single;tertiary;no;no;no;cellular;feb;failure;mid;normal;long;repeat;old;old;no
self-employed;married;tertiary;no;yes;no;cellular;may;other;mid;normal;long;new;old;old;no
technician;married;secondary;no;yes;no;cellular;may;unknown;mid;normal;long;repeat;new;new;no
entrepreneur;married;tertiary;no;yes;no;unknown;may;unknown;mid;normal;short;repeat;new;new;no
services;married;primary;no;yes;yes;cellular;apr;failure;mid;bust;long;new;old;old;no
services;married;secondary;no;yes;no;unknown;may;unknown;mid;rich;long;new;new;new;no
admin.;married;secondary;no;yes;no;cellular;apr;unknown;mid;normal;normal;repeat;new;new;no
technician;married;tertiary;no;no;no;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
student;single;secondary;no;no;no;cellular;apr;unknown;young;normal;long;new;new;new;yes
blue-collar;married;secondary;no;yes;yes;cellular;jan;failure;mid;normal;normal;new;old;old;no
management;married;tertiary;no;no;yes;cellular;aug;unknown;mid;normal;long;repeat;new;new;no
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;rich;long;try-harder;new;new;no
admin.;single;tertiary;no;yes;no;cellular;apr;failure;mid;rich;normal;new;old;old;no
blue-collar;single;primary;no;yes;no;unknown;may;unknown;young;bust;long;new;new;new;no
services;married;secondary;no;no;no;cellular;jul;other;mid;normal;long;new;old;old;no
management;divorced;unknown;no;yes;no;cellular;nov;unknown;mid;normal;normal;repeat;new;new;no
management;divorced;tertiary;no;no;no;cellular;nov;unknown;mid;normal;long;repeat;new;new;no
services;single;secondary;no;no;no;unknown;jun;unknown;mid;normal;normal;repeat;new;new;no
entrepreneur;married;secondary;no;no;no;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
housemaid;married;tertiary;no;no;no;cellular;jan;unknown;young;normal;long;repeat;new;new;no
management;married;tertiary;no;no;no;cellular;nov;unknown;mid;rich;long;repeat;new;new;no
blue-collar;married;primary;no;yes;no;unknown;may;unknown;mid;normal;long;new;new;new;no
retired;married;unknown;no;no;no;telephone;aug;failure;old;normal;normal;new;old;old;no
self-employed;married;secondary;no;no;yes;cellular;jul;unknown;mid;normal;long;repeat;new;new;no
admin.;married;secondary;no;no;yes;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
retired;divorced;secondary;no;no;no;telephone;jul;unknown;old;rich;overtime;repeat;new;new;yes
technician;married;secondary;no;no;no;cellular;aug;unknown;mid;normal;normal;repeat;new;new;no
management;married;secondary;no;no;no;cellular;nov;unknown;mid;normal;short;new;new;new;no
management;single;tertiary;no;yes;no;cellular;aug;unknown;mid;rich;overtime;try-harder;new;new;yes
