age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
58;4;1;4;2;2143;1;2;1;5;may;261;1;-1;0;1;2
44;11;3;2;2;29;1;2;1;5;may;151;1;-1;0;1;2
33;6;1;2;2;2;1;1;1;5;may;76;1;-1;0;1;2
47;8;1;1;2;1506;1;2;1;5;may;92;1;-1;0;1;2
33;2;3;1;2;1;2;2;1;5;may;198;1;-1;0;1;2
35;4;1;4;2;231;1;2;1;5;may;139;1;-1;0;1;2
28;4;3;4;2;447;1;1;1;5;may;217;1;-1;0;1;2
42;6;2;4;1;2;1;2;1;5;may;380;1;-1;0;1;2
58;10;1;3;2;121;1;2;1;5;may;50;1;-1;0;1;2
43;11;3;2;2;593;1;2;1;5;may;55;1;-1;0;1;2
41;1;2;2;2;270;1;2;1;5;may;222;1;-1;0;1;2
29;1;3;2;2;390;1;2;1;5;may;137;1;-1;0;1;2
53;11;1;2;2;6;1;2;1;5;may;517;1;-1;0;1;2
58;11;1;1;2;71;1;2;1;5;may;71;1;-1;0;1;2
57;12;1;2;2;162;1;2;1;5;may;174;1;-1;0;1;2
51;10;1;3;2;229;1;2;1;5;may;353;1;-1;0;1;2
45;1;3;1;2;13;1;2;1;5;may;98;1;-1;0;1;2
57;8;1;3;2;52;1;2;1;5;may;38;1;-1;0;1;2
60;10;1;3;2;60;1;2;1;5;may;219;1;-1;0;1;2
33;12;1;2;2;0;1;2;1;5;may;54;1;-1;0;1;2
28;8;1;2;2;723;1;1;1;5;may;262;1;-1;0;1;2
56;4;1;4;2;779;1;2;1;5;may;164;1;-1;0;1;2
32;8;3;3;2;23;1;1;1;5;may;160;1;-1;0;1;2
25;12;1;2;2;50;1;2;1;5;may;342;1;-1;0;1;2
40;10;1;3;2;0;1;1;1;5;may;181;1;-1;0;1;2
44;1;1;2;2;-372;1;2;1;5;may;172;1;-1;0;1;2
39;4;3;4;2;255;1;2;1;5;may;296;1;-1;0;1;2
52;6;1;2;2;113;1;1;1;5;may;127;1;-1;0;1;2
46;4;3;2;2;-246;1;2;1;5;may;255;2;-1;0;1;2
36;11;3;2;2;265;1;1;1;5;may;348;1;-1;0;1;2
57;11;1;2;2;839;2;1;1;5;may;225;1;-1;0;1;2
49;4;1;4;2;378;1;2;1;5;may;230;1;-1;0;1;2
60;1;1;2;2;39;1;1;1;5;may;208;1;-1;0;1;2
59;8;1;2;2;0;1;2;1;5;may;226;1;-1;0;1;2
51;4;1;4;2;10635;1;2;1;5;may;336;1;-1;0;1;2
57;11;2;2;2;63;1;2;1;5;may;242;1;-1;0;1;2
25;8;1;2;2;-7;1;2;1;5;may;365;1;-1;0;1;2
53;11;1;2;2;-3;2;2;1;5;may;1666;1;-1;0;1;2
36;1;2;2;2;506;1;2;1;5;may;577;1;-1;0;1;2
37;1;3;2;2;0;1;2;1;5;may;137;1;-1;0;1;2
44;12;2;2;2;2586;1;2;1;5;may;160;1;-1;0;1;2
50;4;1;2;2;49;1;2;1;5;may;180;2;-1;0;1;2
60;8;1;1;2;104;1;2;1;5;may;22;1;-1;0;1;2
54;10;1;2;2;529;1;2;1;5;may;1492;1;-1;0;1;2
58;10;1;1;2;96;1;2;1;5;may;616;1;-1;0;1;2
36;1;3;3;2;-171;1;2;1;5;may;242;1;-1;0;1;2
58;9;1;4;2;-364;1;2;1;5;may;355;1;-1;0;1;2
44;11;1;2;2;0;1;2;1;5;may;225;2;-1;0;1;2
55;11;2;2;2;0;2;2;1;5;may;160;1;-1;0;1;2
29;4;3;4;2;0;1;2;1;5;may;363;1;-1;0;1;2
54;8;1;2;2;1291;1;2;1;5;may;266;1;-1;0;1;2
48;4;2;4;2;-244;1;2;1;5;may;253;1;-1;0;1;2
32;4;1;4;2;0;1;2;1;5;may;179;1;-1;0;1;2
42;1;3;2;2;-76;1;2;1;5;may;787;1;-1;0;1;2
24;11;3;2;2;-103;1;1;1;5;may;145;1;-1;0;1;2
38;6;3;4;2;243;2;1;1;5;may;174;1;-1;0;1;2
38;4;3;4;2;424;1;2;1;5;may;104;1;-1;0;1;2
47;8;1;1;2;306;1;2;1;5;may;13;1;-1;0;1;2
40;8;3;1;2;24;1;2;1;5;may;185;1;-1;0;1;2
46;12;1;3;2;179;1;2;1;5;may;1778;1;-1;0;1;2
